Call Failure,Complains,Subscription Length,Charge Amount,Seconds of Use,Frequency of use,Frequency of SMS,Distinct Called Numbers,Age Group,Tariff Plan,Status,Age,Customer Value,Churn,Customer_Engagement,Average_Call_Duration,Revenue_Per_Month
8,0,38,0,4370,71,5,17,3,1,1,30,197.64,0,93,60.69444444444444,5.067692307692307
0,0,39,0,318,5,7,4,2,1,2,25,46.035,0,16,53.0,1.1508749999999999
10,0,37,0,2453,60,359,24,3,1,1,30,1536.52,0,443,40.21311475409836,40.43473684210526
10,0,38,0,4198,66,1,35,1,1,1,15,240.02,0,102,62.656716417910445,6.154358974358975
3,0,38,0,2393,58,2,33,1,1,1,15,145.805,0,93,40.559322033898304,3.7385897435897437
11,0,38,1,3775,82,32,28,3,1,1,30,282.28,0,142,45.48192771084337,7.237948717948718
4,0,38,0,2360,39,285,18,3,1,1,30,1235.96,0,342,59.0,31.69128205128205
13,0,37,2,9115,121,144,43,3,1,1,30,945.44,0,308,74.71311475409836,24.880000000000003
7,0,38,0,13773,169,0,44,3,1,1,30,557.68,0,213,81.01764705882353,14.299487179487178
7,0,38,1,4515,83,2,25,3,1,1,30,191.92,0,110,53.75,4.921025641025641
6,0,38,0,5918,95,7,12,3,1,1,30,268.52,0,114,61.645833333333336,6.885128205128205
9,0,38,0,2238,54,8,17,3,1,2,30,123.68,0,79,40.69090909090909,3.1712820512820517
25,0,38,3,15140,225,54,32,3,1,1,30,830.6,0,311,66.99115044247787,21.297435897435896
4,0,38,1,3095,27,483,8,3,1,1,30,2056.88,0,518,110.53571428571429,52.740512820512826
9,0,37,0,15485,182,150,30,2,1,1,25,1380.015,0,362,84.61748633879782,36.316184210526316
3,0,37,1,6500,86,186,26,3,1,1,30,1007.44,0,298,74.71264367816092,26.511578947368424
0,0,37,0,875,14,0,11,2,1,2,25,40.005,1,25,58.333333333333336,1.052763157894737
2,0,38,0,710,14,13,8,3,1,2,30,80.96,0,35,47.333333333333336,2.075897435897436
0,0,37,0,0,0,0,0,2,1,2,25,0.0,1,0,0.0,0.0
3,0,37,0,7508,127,384,43,2,1,1,25,2071.575,0,554,58.65625,54.51513157894736
7,0,37,1,11465,154,11,47,4,1,1,45,317.975,0,212,73.96774193548387,8.367763157894737
8,0,37,1,6718,75,108,37,2,1,1,25,791.685,0,220,88.39473684210526,20.833815789473682
23,1,33,0,955,47,16,17,2,1,2,25,117.09,1,80,19.895833333333332,3.4438235294117647
21,1,36,8,10435,93,1,42,5,2,1,55,159.42,0,136,111.01063829787235,4.308648648648648
13,1,36,1,5818,98,26,24,2,1,1,25,383.22,1,148,58.76767676767677,10.357297297297299
1,0,34,0,2840,22,0,14,3,1,1,30,114.48,0,36,123.47826086956522,3.270857142857143
9,0,35,0,2990,41,9,16,3,1,2,30,157.24,1,66,71.19047619047619,4.367777777777778
9,1,36,0,2268,44,34,31,3,1,2,30,228.48,1,109,50.4,6.175135135135135
0,0,36,0,133,2,0,2,3,1,2,30,5.4,1,4,44.333333333333336,0.14594594594594595
1,0,36,0,1668,25,0,6,3,1,1,30,67.72,0,31,64.15384615384616,1.8302702702702702
3,0,33,1,6785,97,14,22,5,1,1,55,124.23,0,133,69.23469387755102,3.6538235294117647
0,1,36,0,628,7,9,4,4,1,2,45,38.375,1,20,78.5,1.037162162162162
0,0,36,1,338,4,4,2,5,1,1,55,11.13,0,10,67.6,0.30081081081081085
25,0,31,3,16075,238,0,80,2,2,1,25,734.085,0,318,67.25941422594143,22.94015625
6,0,34,3,6965,116,271,33,2,2,1,25,1538.145,0,420,59.52991452991453,43.947
2,0,36,0,3718,82,2,28,2,1,1,25,180.0,0,112,44.795180722891565,4.864864864864865
3,0,35,0,1665,44,38,20,3,1,2,30,220.36,0,102,37.0,6.121111111111111
6,0,36,0,2780,53,175,23,2,1,1,25,914.985,0,251,51.48148148148148,24.729324324324324
4,0,27,1,1315,36,193,11,2,2,1,25,929.295,0,240,35.54054054054054,33.18910714285714
4,0,26,0,1568,39,30,68,4,1,1,45,115.175,0,137,39.2,4.265740740740741
11,0,27,0,700,25,10,7,2,1,2,25,77.625,0,42,26.923076923076923,2.7723214285714284
0,0,26,0,825,10,21,3,4,1,2,45,73.375,1,34,75.0,2.7175925925925926
10,0,25,0,1225,32,19,13,2,1,1,25,142.065,0,64,37.121212121212125,5.464038461538461
2,0,25,0,3225,61,8,23,3,1,1,30,163.44,0,92,52.016129032258064,6.286153846153846
2,0,18,0,1695,26,28,14,2,1,1,25,203.445,0,68,62.77777777777778,10.707631578947368
16,0,17,1,6393,141,85,42,2,2,1,25,676.53,0,268,45.021126760563384,37.585
12,0,15,0,8933,171,73,40,4,1,1,45,410.1,0,284,51.93604651162791,25.63125
8,0,16,3,2853,45,31,19,3,2,1,30,239.92,0,95,62.02173913043478,14.112941176470587
2,0,9,1,4390,40,215,10,3,1,1,30,1037.2,0,265,107.07317073170732,103.72
3,0,9,1,1488,19,0,7,3,1,1,30,60.28,1,26,74.4,6.0280000000000005
11,0,40,1,4430,74,10,19,3,1,1,30,220.16,0,103,59.06666666666667,5.369756097560976
3,0,41,1,378,8,12,6,3,1,1,30,63.44,0,26,42.0,1.5104761904761905
13,0,39,1,2513,63,364,26,3,1,1,30,1559.04,0,453,39.265625,38.976
13,0,40,1,4258,69,6,37,1,1,1,15,270.985,0,112,60.82857142857143,6.609390243902439
6,0,40,1,2453,61,7,35,2,1,1,25,144.63,0,103,39.564516129032256,3.527560975609756
14,0,40,2,3835,85,37,30,3,2,1,30,304.8,0,152,44.593023255813954,7.434146341463415
7,0,40,1,2420,42,290,20,3,1,1,30,1258.48,0,352,56.27906976744186,30.694634146341464
16,0,39,3,9175,124,149,45,3,1,1,30,967.96,0,318,73.4,24.199
10,0,40,1,13833,172,5,46,3,1,1,30,580.2,0,223,79.95953757225433,14.151219512195123
10,0,40,2,4575,86,7,27,3,1,1,30,214.44,0,120,52.58620689655172,5.230243902439025
9,0,40,1,5978,98,12,14,3,1,1,30,291.04,0,124,60.38383838383838,7.098536585365854
12,0,40,1,2298,57,13,19,3,1,1,30,146.2,0,89,39.62068965517241,3.565853658536585
28,0,40,4,15200,228,59,34,3,1,1,30,853.12,0,321,66.37554585152839,20.80780487804878
7,0,40,2,3155,30,488,10,3,1,1,30,2079.4,0,528,101.7741935483871,50.71707317073171
12,0,39,1,15545,185,155,32,2,1,1,25,1405.35,0,372,83.5752688172043,35.13375
