Complains,Subscription Length,Frequency of use,Seconds of Use,Distinct Called Numbers,Customer_Engagement,Average_Call_Duration,Status,Revenue_Per_Month,Customer Value,Churn
0,38,71,4370,17,93,60.69444444444444,1,5.067692307692307,197.64,0
0,39,5,318,4,16,53.0,2,1.150875,46.035,0
0,37,60,2453,24,443,40.21311475409836,1,40.43473684210526,1536.52,0
0,38,66,4198,35,102,62.656716417910445,1,6.154358974358975,240.02,0
0,38,58,2393,33,93,40.559322033898304,1,3.738589743589744,145.805,0
0,38,82,3775,28,142,45.48192771084337,1,7.237948717948718,282.28,0
0,38,39,2360,18,342,59.0,1,31.69128205128205,1235.96,0
0,37,121,9115,43,308,74.71311475409836,1,24.880000000000003,945.44,0
0,38,169,13773,44,213,81.01764705882353,1,14.299487179487178,557.68,0
0,38,83,4515,25,110,53.75,1,4.921025641025641,191.92,0
0,38,95,5918,12,114,61.645833333333336,1,6.885128205128205,268.52,0
0,38,54,2238,17,79,40.69090909090909,2,3.171282051282052,123.68,0
0,38,225,15140,32,311,66.99115044247787,1,21.297435897435896,830.6,0
0,38,27,3095,8,518,110.53571428571428,1,52.740512820512826,2056.88,0
0,37,182,15485,30,362,84.61748633879782,1,36.31618421052632,1380.015,0
0,37,86,6500,26,298,74.71264367816092,1,26.511578947368424,1007.44,0
0,37,14,875,11,25,58.333333333333336,2,1.052763157894737,40.005,1
0,38,14,710,8,35,47.333333333333336,2,2.075897435897436,80.96,0
0,37,0,0,0,0,0.0,2,0.0,0.0,1
0,37,127,7508,43,554,58.65625,1,54.51513157894736,2071.575,0
0,37,154,11465,47,212,73.96774193548387,1,8.367763157894737,317.975,0
0,37,75,6718,37,220,88.39473684210526,1,20.83381578947368,791.685,0
1,33,47,955,17,80,19.89583333333333,2,3.4438235294117647,117.09,1
1,36,93,10435,42,136,111.01063829787236,1,4.308648648648648,159.42,0
1,36,98,5818,24,148,58.76767676767677,1,10.3572972972973,383.22,1
0,34,22,2840,14,36,123.47826086956522,1,3.270857142857143,114.48,0
0,35,41,2990,16,66,71.19047619047619,2,4.367777777777778,157.24,1
1,36,44,2268,31,109,50.4,2,6.175135135135135,228.48,1
0,36,2,133,2,4,44.333333333333336,2,0.1459459459459459,5.4,1
0,36,25,1668,6,31,64.15384615384616,1,1.8302702702702704,67.72,0
0,33,97,6785,22,133,69.23469387755102,1,3.6538235294117647,124.23,0
1,36,7,628,4,20,78.5,2,1.037162162162162,38.375,1
0,36,4,338,2,10,67.6,1,0.3008108108108108,11.13,0
0,31,238,16075,80,318,67.25941422594143,1,22.94015625,734.085,0
0,34,116,6965,33,420,59.52991452991453,1,43.947,1538.145,0
0,36,82,3718,28,112,44.795180722891565,1,4.864864864864865,180.0,0
0,35,44,1665,20,102,37.0,2,6.121111111111111,220.36,0
0,36,53,2780,23,251,51.48148148148148,1,24.729324324324324,914.985,0
0,27,36,1315,11,240,35.54054054054054,1,33.18910714285714,929.295,0
0,26,39,1568,68,137,39.2,1,4.265740740740741,115.175,0
0,27,25,700,7,42,26.923076923076923,2,2.7723214285714284,77.625,0
0,26,10,825,3,34,75.0,2,2.717592592592593,73.375,1
0,25,32,1225,13,64,37.121212121212125,1,5.464038461538461,142.065,0
0,25,61,3225,23,92,52.016129032258064,1,6.286153846153846,163.44,0
0,18,26,1695,14,68,62.77777777777778,1,10.707631578947368,203.445,0
0,17,141,6393,42,268,45.02112676056338,1,37.585,676.53,0
0,15,171,8933,40,284,51.93604651162791,1,25.63125,410.1,0
0,16,45,2853,19,95,62.02173913043478,1,14.112941176470589,239.92,0
0,9,40,4390,10,265,107.07317073170732,1,103.72,1037.2,0
