Feature,Importance_XGBoost,Importance_Permutation
Complains,0.43965057,0.05803508771929824
Status,0.30670828,0.05996491228070174
Seconds of Use,0.060699683,0.04273684210526316
Customer_Engagement,0.040381245,0.020561403508771926
Average_Call_Duration,0.03718521,0.046280701754385964
Subscription Length,0.031461738,0.0355438596491228
Frequency of use,0.027305195,0.022315789473684178
Distinct Called Numbers,0.02488447,0.029052631578947385
Revenue_Per_Month,0.016785882,0.016210526315789453
Customer Value,0.014937702,0.009298245614035094
